short_question,short_answer,tags,label
last few months our relationship does not going better my boyfriend is behave become very much rough he all time avoid me does not receive my call not replying my sms does not want to met me when i ask reason he say that he is in mental pressure but tell me that he loves me i am confused when he is not in pressure then also avoid me saying he is busy but in date he is normal want to kiss me or other last two days he wanted to break up with me saying that he is not a normal parson mentally he say that he just want no misunderstanding so wanna break up with me i can not live without him sad what can i do,hello and welcome to ehealth forum this is a personal and religious decision but considering the circumstances it is best to opt for abortion otherwise you need to inform your parents about it the best way to do is go for a dilatation and curettage vacuum evacuation can be tried before 7 weeks of pregnancy if you do not want that then you can try a drug which contains a chemical called mifepristone the best method through pills is a combination of mifepristone plus prostaglandin discuss this with the gynecologist i would suggest you consult a gynecologist if your pregnancy test is positive and not go for any pills on your own as they carry the danger of incomplete abortion and very heavy bleeding a dose higher than the required dose can cause damage to the uterus too so please do not self medicate after the termination think in terms of inserting iud or other such devices like implanon or go for pills please consult your gynecologist hope this helps take care,['broken hearted'],-1.0
im currently 18 4 weeks pregnant afp results came back 141 chance of trisomy 18 at the 12 week ultrasound baby had grown on time from the 9 week ultrasound and had a wide open hand and at the 16 week ultrasound baby was in time head normal size compared to body and hands wide open with that does it seem to have it also my mom had spina bifida so is it possible i carry the gene and it will always be positive,you seem concerned by the emotional lability during pregnancy along with the feeling that your husband is not supportive and is emotionally and verbally abusing you two main hormones estrogen and progesterone cause mood swings during pregnancy emotions are always unstable and feeling of depression is normal as any other body changes during pregnancy the third trimester is the most anxious one this is the period when mother to be worries about everything and anything that she can think of however her major cause of anxiety lies not just on the labour and delivery process but also in baby care and parenting in general you might be feeling physically uncomfortable with the growth of the abdomen and may feel irritated with the lightest noise as you lack sleep in general it may be more extreme if your partner is unresponsive to your special requirements during pregnancy as he may not realise that the mood swings are normal in pregnancy however if the mood swings of anxiety sadness and anger continuously persist more than two weeks you must meet the practitioner you may be suffering from depression that needs immediate care and attention called bipolar disorder a survey states that untreated emotional health problems can affect your baby is physical well being and increase the risk of preterm labor and postpartum depression get treated with the right psychotherapy and medication for effective results hope this helps take care note this post is not to emphasise final diagnosis as the same cannot be made online and is aimed just to provide medical information and no treatment suggested above be taken without face to face consultation with health care professional,['genetic disorders'],-1.0
well i was power lifting and the bar came down wrong and my wrist popped it hurt a whole lot for a couple days then it went away that is until i lift something even a gallon of milk it hurts the same area as original injury my coaches said it was a sprain yet its been three weeks and still hurts if i lift anything my question is is there something more serious to blame other than a sprain,the history of hearing a pop indicates a soft tissue rupture tendon or ligament and this should not be taken lightly if there is a complete tear the healing will not be complete and surgery would be needed to have ful limb function it would be recommended that you consult with your doctor and get a mri which would help make a proper assessment of your injury and based on that future mode of management can be determined i hope this helps,['orthopedics'],1.0
its been since august 15 2012 and i have had issues the incision in my bellybutton keeps spliting open infection my dr told me no it is not infection did nothing everything i try to eat even one bite it feels like a rubber band is snapping inside when i sleep on my left side everything on the right settles i feel something moving there is an egg sized   in the center between my navel and ribs what could possibly cause the snapping feeling and what could possibly be moving inside me kind of freaked out especially when my dr who is a ta says nothing is wrong i was 110 when this all began i am under 100 lbs i am 5ft 5in and nothing tastes good smells good and i am nausious all the time,it seems you are suffering from reflux and gastritis which is a common issue after gall bladder removal regarding the abnormal feeling it requires a clinical examination to comment regarding the exact cause it might be that the incision site is healing which can cause some hardening of the involved and surrounding region the simple measures that are likely to help you are  1 certain foods such as cauliflower broccoli cabbage brussels sprouts and legumes beans may cause bloating and gassiness 2 dietary fiber may lessen symptoms you should drink plenty of water and avoid soda which may cause gas and abdominal discomfort 3 you can use some over the counter drugs like pepto bismol or tums for symptomatic relief consider visiting the treating surgeon once for evaluation take care,"['bellybutton' 'infection' 'august' 'sleep' 'sleep disorders'
 'recovery & post-op']",1.0
my sister is a 31 year old female she has had very dark stool along with mucus in it for about a year she has abdominal pain and has also been feeling very tired and run down her dr ran a cbc on her and found that she is severely anemic she also did a fecal test and found that there is blood in her stool she never sees bright red blood though it is not visible to the eye just very dark stool they did a small bowel follow through an endoscopy and a colonoscopy and they still have not found anything her dr said it did not show colitis crohns polyps or celiac is disease but she is still feeling very tired constipated is losing weight very anemic has stomach pain mucus and blood in her stool they put her on prenatal vitamins for the anemia they are now going to do a capsule endoscopy to check more of her small intestine if this was cancer would they have found it by now what else can she do to test for cancer blood tests etc what else could it be,the most common form of neutropenia in infants and young children is transient neutropenia with or following a viral illness it resolves itself within 2 weeks if it lasts longer than that or the child is very ill then a full workup for neutropenia would be recommended in infants aged 2 weeks to 1 year the lower limit of the normal neutrophil count is 1000l after the first year of life the lower limit is 1500l as in adults spontaneous recovery in such cases occurs by age 5 years and the mean duration of neutropenia is approximately 20 months the clinical severity and frequency of infections rather than the severity of neutropenia would be used to determine the further management of the condition hence you should continue to work with the treating doctors for appropriate medical advice i hope this helps,"['small intestine' 'stomach cancer' 'abdominal pain' 'stomach pain'
 'blood tests' 'intestine' 'endoscopy' 'symptoms' 'stomach' 'gastric'
 'stomach cancer']",-1.0
i went to hospital last night with really bad stomach cramps i had not had a period for at least 6 months and i did not even think of bein pregnant i never told my mum and jus kept it to myslef when i was lying down i felt my stomach and it felt like i was feeling a leg i really panicked and felt my whole stomach which felt like a baby anyway i got to the hospital and i was bleeding but only like little spots then i went to the toilet and i pushed really hard and i couldnt belev it i pushed out a baby is head the baby was tiny i pushed agen once more and everything came out in the toilet pan there it was a tiny little baby no bigger than my hand but this baby wase not fully developed it was so small but it was dead the nurses took it away but then they never told me anything next this is wat i want to know why i gave birth to an undeveloped baby and was bleeding very heavily blood clots bigger than golf balls can u please tell me what this is i want to know urgently,a pregnancy that ends before the 28th week is not considered a birth but is medically called a miscarriage pregnancies that end between the 28th and 38th week are considered premature births the normal duration of a pregnancy is considered to last between 38 and 42 weeks if a pregnancy lasts for more than 42 weeks it is considered an over kept pregnancy six months is less than 28 weeks so it seems that you probably had a miscarriage there could be many reasons for miscarriage 1 genetic malformations of the fetus 2 fetal damage caused by viral infections toxoplasmosis drugs irradiationâ¦ 3 vaginal infection 4 trauma 5 cervical failure 6 uterusâs tumors etc you can consult your gynecologist to find out the precise cause for the miscarriage in your case,"['vaginal infection' 'pregnancies' 'infections' 'pregnancy' 'premature'
 'infection' 'pregnant' 'stomach' 'vaginal' 'trauma' 'single and pregnant']",1.0
25 years old i was feeling lumpy both my epidiymis and now i feel my left testicle lump it is definitely inside not the surface lump goas some times and it is not pain it is near the epidiymis where i feel the lump and i have still small lumps my both epidiymis what is that,hello there are 100 reasons of delaying the cycle but rule out pregnancy first do a pregnancy testing to rule out this possibility,['cancer' 'testicular cancer'],-1.0
i have miliary tb for last 4 months and on standard medication but fever is not going away even after 4 months what can i expect how long,sputum cultures should be sent for sensitivity to the standard and second line drugs the fever should also be documented you didnt specify if you were 4 months along with the initiation or continuation phase alone of treatment whether you are on two drugs or four drugs wishing you best of health thanks,['medication' 'fever' 'tb' 'tuberculosis'],1.0
how i loose my waight,from the description provided it seems that you may be having a condition called as glue ear or serous otitis media serous otitis media describes a collection of fluid in the middle ear this may be acute not lasting for a long time or chronic lasting for a long time chronic long standing otitis media as in your case can occur due to long standing eustachian tube blockage or thickening of fluid due to which it cannot be absorbed or drained down the tube symptoms can range from ear discomfort pain slight reduction in hearing and irritation treatment of the condition can be done with medications including antihistamines and decongestants and nasal sprays in long standing cases a small surgical procedure involving placement of a ear tube in the ear drum tympanic membrane may be required to facilitate drainage of the fluid you might consult with your primary doctor or a ent doctor who can examine you and provide specific advice and treatment i hope this helps,"['sexual health' 'atherosclerosis' 'body mass index' 'exercise' 'diet'
 'diet weight loss' 'thyroid health' 'weight loss']",-1.0
i am over weight and have been since the birth of my first daughter i took phentermine before i found out i was pregnant with my second child i want to continue taking it after this pregnancy but i decided to breast feed can i take phentermine while breastfeeding will it get into my breastmilk,you might not take phentermine while breastfeeding,"['breast' 'pregnancy' 'nutrition' 'pregnant' 'fitness' 'weight'
 'pregnancy fitness' 'pregnancy health' 'second pregnancy'
 'before pregnancy' 'pregnancy fitness' 'health and nutrition']",1.0
what does the following fnac means site left breast lump materil gross particulate stains performed mgg pap microscopic examination a mixture of benign as well ass neoplastic ductal epithelial cell with nuclear crowding and hyperchromasia impression suggestive of atypical epitheliosis advice core biopsy to rule out duct carcinoma,fnac is fine needl aspiration cytology in which usually a tumor or growth is punctured with a syringe and obtained material is spread on slide to see under microscope the histology or cells of the tumor your reault has shown some abnormal cells which is suspected of having cancer in that growth and its advised to confirm it by doing core biopsy in which some of the tissue is taken and then slides are made to study the tissue of the tumor,['breast cancer' 'cancer' 'breast cancer'],1.0
i need help with diagnoses i have been sick for 4 plus months my symptoms have been diverse the doctor i have seen so far have diagnosed me with chronic fatigue however fatigue is not my dominant symptom 4 months ago i had a big night out and had a panic attack 2 days after i felt like my liver was getting bigger and i could not breath after this i got a fever fatigue swollen inguinal glands and feelings of waves going throughout my body this phase lasted about 2 weeks went to doctors many times who didnt know what it was one idea was maybe ebv now i have still fatigue in relapses sometimes very blurry vision a lot of the time occasional crashes including anxiety if i have not been healthy my muscles twitch or pulsate and all my glands are going up and down all the time particularly on my right side inguinal glands in neck next to ears armpit i have developed lumps sometimes in my ankles that go away sometimes i feel completely fine sometimes really bad crashe,most gi illnesses do not cause pain in one is arm and so i would suggest that your doctors make sure that this pain you are experiencing is not related to any potential heart disease beyond this suggestion there are many potential causes of upper abdominal pain including acid reflux which almost always improves on acid reducting medications helicobacter pylroi infection which requires both acid reducing medications and antibiotics bile alkaline reflux gastritis which does not respond to acid reducing medications hiatal hernias gallstones biliary dyskinesia abnormal function of the galbladder and bile duct sphincter muscle chronic pancreatitis kidney stones and irritable bowel syndrome among others since i am not involved in your care i am afraid that i really cannot speculate as to what precisely is causing your symptoms i hope that you can find a good gastroenterologist who can try and help to sort things out for you sincerely robert a wascher md facs www doctorwascher com author a cancer prevention guide for the human race 2010,"['endocrine disorders' 'anxiety' 'liver health' 'disorders and conditions'
 'chronic fatigue syndrome']",-1.0
i am currently 23 weeks pregnant since i become 3 month pregnant my work has made my life a misery basically keep swapping and changing my job after sorting it out then told me im expected to do the same work as everybody else as pregnancy is not a disability or a illness and at this stage of my pregnancy i should not be getting tired i am really depressed and stress over work getting frequant headaches just wondering if i go to doctors and go o n sick pay will i get full pay due to stress and depression due to work,the symptoms that you describe suggest possibility of pregnancy induced depression also called pregnancy blues along with effects of the changing hormonal effects if the symptoms have been affecting your dailywork life andor your personal relations you should consider visiting your doctorgynecologist at the earliest for further evaluation to look for the underlying cause and assistance to control the symptoms based on the evaluation results medications safe ones that can be used during pregnancy would be started to help you counseling sessions would also help you to cope up with your symptoms and carry on with pregnancy smoothly take care,"['depression during pregnancy' 'depression' 'pregnancy'
 'pregnancy depression' 'headaches' 'pregnant' 'stress' 'tired'
 'headaches during pregnancy' 'stress and headaches'
 'depression during pregnancy']",1.0
